Claim Amount,Coverage,Education,Employment Status,Income,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Claim Reason,Sales Channel,Fraudulent
384,Extended,College,Employed,21880,Married,97,29,37,Collision,Branch,0
1179,Basic,College,Retired,25251,Divorced,66,13,43,Hail,Web,1
784,Basic,Master,Unemployed,0,Married,69,9,12,Hail,Agent,0
431,Basic,High School,Employed,24188,Married,109,14,82,Collision,Agent,0
597,Basic,Bachelor,Employed,41611,Married,74,14,8,Collision,Branch,0
567,Basic,Bachelor,Employed,28406,Married,72,16,35,Collision,CallCenter,0
473,Premium,College,Employed,69833,Married,118,32,99,Collision,Agent,0
803,Basic,High School,Unemployed,0,Single,74,15,91,Collision,Web,1
402,Basic,High School,Unemployed,0,Single,117,6,1,Collision,Agent,0
962,Basic,High School,Employed,80536,Married,119,5,83,Collision,Branch,0
227,Basic,College,Unemployed,0,Single,63,2,5,Hail,Agent,1
955,Extended,College,Employed,97732,Married,79,0,70,Other,Branch,0
1039,Extended,Bachelor,Employed,61222,Single,89,20,55,Scratch or Dent,Branch,0
247,Basic,College,Unemployed,0,Single,74,7,20,Other,Web,1
562,Premium,Master,Employed,50335,Married,140,9,54,Collision,CallCenter,0
905,Extended,High School,Unemployed,0,Single,127,30,11,Scratch or Dent,Branch,1
669,Premium,High School,Employed,63221,Married,168,28,49,Scratch or Dent,Agent,0
373,Extended,High School,Unemployed,0,Married,96,31,34,Collision,Agent,0
366,Extended,Bachelor,Employed,64495,Married,92,34,30,Other,Web,0
793,Basic,College,Unemployed,0,Married,72,7,75,Collision,CallCenter,0
501,Basic,Bachelor,Employed,28859,Divorced,67,24,51,Collision,CallCenter,0
799,Extended,High School,Employed,77330,Married,99,0,21,Hail,Web,0
389,Premium,College,Unemployed,0,Married,105,3,92,Collision,Branch,0
266,Basic,Bachelor,Employed,24495,Single,70,29,65,Other,Branch,0
856,Basic,High School,Employed,95697,Married,107,29,29,Hail,Agent,0
489,Extended,High School,Disabled,26372,Married,126,11,7,Other,Agent,0
975,Extended,Bachelor,Medical Leave,17514,Married,127,2,5,Collision,Branch,0
295,Basic,Bachelor,Employed,89270,Single,74,17,90,Hail,Branch,0
258,Basic,High School,Employed,29757,Married,65,13,55,Hail,Web,0
352,Extended,College,Employed,51814,Single,92,28,89,Scratch or Dent,Agent,0
974,Extended,Bachelor,Employed,24028,Married,82,14,27,Hail,Agent,0
387,Basic,College,Retired,28142,Married,105,18,50,Hail,Agent,0
765,Basic,Bachelor,Employed,52705,Married,64,14,8,Collision,Web,0
229,Basic,High School,Unemployed,0,Married,63,1,5,Hail,Agent,0
448,Basic,College,Employed,84903,Married,111,7,63,Collision,Agent,0
871,Basic,College,Unemployed,0,Divorced,118,14,64,Collision,Agent,0
225,Basic,Bachelor,Retired,24910,Single,63,7,63,Collision,Branch,0
742,Extended,Bachelor,Unemployed,0,Single,77,15,12,Collision,Agent,0
777,Basic,Master,Medical Leave,21876,Married,68,12,28,Collision,Agent,0
697,Basic,Bachelor,Unemployed,0,Single,69,33,61,Collision,Agent,0
425,Basic,High School,Unemployed,0,Single,61,17,1,Collision,Agent,0
1978,Extended,High School,Employed,70699,Divorced,82,1,57,Scratch or Dent,Agent,0
2134,Basic,High School,Unemployed,0,Married,74,11,85,Collision,Agent,0
241,Basic,College,Medical Leave,27501,Married,63,20,0,Other,Branch,0
1536,Premium,Doctor,Disabled,15897,Divorced,101,30,99,Hail,Agent,0
846,Basic,College,Employed,25141,Divorced,73,12,4,Scratch or Dent,Agent,0
219,Basic,College,Unemployed,0,Married,61,5,46,Scratch or Dent,Agent,0
578,Basic,High School,Employed,51066,Single,74,23,0,Hail,CallCenter,1
464,Basic,Bachelor,Employed,28358,Married,117,24,37,Hail,CallCenter,0
447,Basic,College,Employed,61846,Married,112,1,48,Hail,Agent,0
597,Basic,Bachelor,Employed,90972,Married,74,3,47,Hail,CallCenter,0
510,Basic,College,Unemployed,0,Single,74,3,95,Scratch or Dent,Web,1
408,Basic,Bachelor,Employed,29549,Divorced,104,17,51,Hail,CallCenter,0
1225,Premium,Bachelor,Unemployed,0,Married,115,12,17,Collision,Agent,0
1694,Extended,Bachelor,Employed,39411,Married,217,4,29,Scratch or Dent,Branch,0
489,Basic,High School,Employed,21709,Married,62,28,17,Hail,Branch,0
994,Extended,Bachelor,Employed,67890,Single,85,23,57,Other,Agent,0
374,Basic,Bachelor,Unemployed,0,Single,110,3,16,Collision,Agent,0
1312,Basic,High School,Employed,84311,Single,111,11,98,Scratch or Dent,CallCenter,1
457,Basic,College,Employed,99316,Single,114,26,53,Hail,Branch,0
547,Extended,Bachelor,Employed,54507,Married,138,20,11,Hail,Agent,0
298,Extended,Bachelor,Employed,64586,Single,76,3,17,Scratch or Dent,Branch,0
641,Extended,College,Employed,61709,Married,82,5,41,Scratch or Dent,Branch,0
448,Basic,Master,Employed,94656,Married,111,12,79,Other,Web,0
238,Basic,High School,Unemployed,0,Single,69,5,40,Other,Branch,0
276,Basic,Bachelor,Employed,61085,Married,70,27,34,Hail,Branch,0
792,Basic,Bachelor,Employed,89284,Married,67,7,31,Other,Agent,0
689,Basic,High School,Unemployed,0,Divorced,63,6,12,Collision,Branch,0
327,Extended,Bachelor,Employed,31686,Married,81,11,33,Collision,Agent,0
995,Premium,High School,Employed,56855,Single,255,12,1,Other,Web,1
252,Basic,Bachelor,Employed,53703,Single,67,3,45,Collision,Branch,0
2371,Extended,High School,Unemployed,0,Single,96,12,35,Scratch or Dent,Branch,1
605,Extended,College,Employed,20396,Married,76,15,60,Collision,Branch,0
1114,Premium,Master,Disabled,27679,Single,150,30,28,Collision,CallCenter,0
433,Extended,Bachelor,Retired,23904,Single,123,1,67,Collision,Agent,0
280,Basic,High School,Employed,65351,Married,69,4,54,Hail,CallCenter,0
792,Basic,College,Unemployed,0,Single,113,20,1,Collision,Agent,0
369,Basic,High School,Unemployed,0,Single,63,0,54,Collision,CallCenter,1
1207,Basic,College,Unemployed,0,Single,116,14,35,Collision,Agent,0
292,Basic,College,Employed,64459,Married,72,16,64,Hail,Branch,0
1501,Premium,College,Employed,32961,Married,190,13,53,Collision,Branch,0
928,Basic,High School,Employed,71416,Divorced,116,10,0,Hail,Agent,0
627,Extended,Bachelor,Employed,68964,Married,78,15,6,Scratch or Dent,Web,0
389,Extended,High School,Employed,78108,Single,98,12,34,Hail,Agent,0
439,Basic,College,Retired,10621,Single,67,28,22,Collision,Agent,0
1137,Extended,College,Employed,84910,Married,95,4,69,Hail,Web,0
561,Basic,High School,Employed,77493,Single,70,2,35,Collision,Agent,0
291,Basic,College,Employed,81097,Divorced,74,7,67,Other,Agent,0
692,Extended,College,Employed,96610,Married,85,6,23,Other,CallCenter,0
626,Premium,College,Employed,30110,Married,159,20,71,Other,Agent,0
650,Extended,High School,Disabled,22081,Married,84,1,9,Collision,Agent,0
801,Basic,High School,Unemployed,0,Divorced,112,12,93,Collision,Web,1
293,Basic,College,Employed,98473,Married,72,19,69,Hail,Branch,0
597,Basic,Bachelor,Employed,97431,Married,74,1,72,Scratch or Dent,Branch,0
547,Basic,Bachelor,Employed,93870,Divorced,69,1,96,Collision,CallCenter,0
565,Basic,High School,Employed,50366,Divorced,72,9,5,Collision,CallCenter,0
637,Extended,High School,Employed,34498,Single,83,30,72,Hail,Branch,0
1183,Basic,College,Disabled,16552,Married,103,23,53,Hail,CallCenter,0
612,Extended,College,Employed,26787,Married,77,7,50,Scratch or Dent,Branch,0
516,Basic,College,Unemployed,0,Single,74,2,42,Collision,Branch,0
251,Basic,High School,Employed,43860,Single,65,15,58,Hail,Agent,0
867,Basic,High School,Employed,21474,Married,114,13,72,Collision,Agent,0
496,Basic,Bachelor,Disabled,18174,Married,66,8,16,Collision,Agent,0
550,Basic,Bachelor,Unemployed,0,Married,73,18,45,Collision,CallCenter,0
751,Basic,College,Employed,60920,Single,64,10,61,Hail,Agent,0
3227,Extended,High School,Employed,41520,Married,90,18,70,Collision,Agent,0
566,Premium,Bachelor,Unemployed,0,Married,152,12,89,Collision,Web,0
506,Basic,High School,Unemployed,0,Married,68,19,16,Scratch or Dent,CallCenter,1
591,Basic,Bachelor,Employed,72208,Married,73,3,84,Collision,Branch,0
1518,Basic,Bachelor,Employed,53863,Married,63,12,30,Collision,Web,0
1075,Extended,College,Employed,66446,Divorced,136,8,77,Hail,Branch,0
205,Basic,College,Unemployed,0,Single,61,18,26,Hail,Agent,1
247,Basic,Bachelor,Employed,64997,Single,63,7,99,Hail,Agent,0
534,Basic,High School,Employed,64460,Married,66,18,42,Hail,Agent,0
812,Basic,College,Employed,46618,Married,67,22,77,Scratch or Dent,Agent,0
461,Basic,College,Unemployed,0,Divorced,64,13,64,Collision,Branch,0
641,Extended,College,Employed,49988,Married,84,6,37,Hail,Web,0
238,Extended,College,Unemployed,0,Single,91,2,8,Collision,Agent,0
321,Extended,Bachelor,Disabled,16269,Divorced,86,6,84,Scratch or Dent,Agent,0
509,Basic,Bachelor,Employed,72006,Divorced,64,4,38,Other,Agent,0
2576,Extended,High School,Unemployed,0,Married,81,3,60,Other,CallCenter,0
867,Extended,Bachelor,Unemployed,0,Single,245,34,83,Collision,Branch,0
804,Basic,Master,Employed,44320,Married,67,13,79,Collision,CallCenter,0
400,Premium,High School,Retired,19782,Divorced,108,13,66,Scratch or Dent,Web,1
1671,Basic,Bachelor,Employed,63933,Divorced,70,35,98,Collision,CallCenter,0
854,Basic,Doctor,Employed,28224,Single,109,13,13,Collision,CallCenter,0
781,Basic,College,Retired,21073,Divorced,106,25,54,Collision,Agent,0
611,Extended,Bachelor,Employed,63243,Married,77,21,73,Other,CallCenter,0
477,Extended,High School,Retired,20993,Divorced,133,35,90,Hail,Agent,0
1098,Extended,Bachelor,Employed,94827,Married,135,5,64,Collision,Agent,0
500,Basic,Master,Employed,39161,Married,63,18,83,Hail,CallCenter,0
1322,Extended,Bachelor,Employed,37534,Married,84,2,0,Scratch or Dent,Branch,0
262,Basic,Bachelor,Employed,80210,Divorced,65,30,28,Collision,Agent,0
1784,Basic,Bachelor,Unemployed,0,Married,62,32,59,Collision,Agent,0
511,Basic,College,Employed,30110,Married,64,2,4,Collision,Web,0
1793,Basic,College,Medical Leave,21708,Divorced,68,28,77,Collision,Web,0
546,Basic,High School,Employed,94731,Married,67,23,65,Hail,Agent,0
656,Extended,Bachelor,Employed,32375,Married,83,17,83,Collision,Agent,0
481,Basic,College,Medical Leave,16531,Married,63,0,40,Collision,Web,0
2933,Extended,Master,Employed,32006,Single,94,28,7,Hail,CallCenter,0
577,Basic,Bachelor,Employed,81676,Married,72,21,86,Collision,Agent,0
685,Extended,College,Employed,71038,Married,86,15,56,Other,Agent,0
360,Basic,High School,Unemployed,0,Single,103,20,43,Hail,CallCenter,1
2286,Basic,Master,Medical Leave,20832,Married,65,8,32,Collision,CallCenter,0
786,Basic,High School,Unemployed,0,Single,113,19,10,Collision,Branch,0
412,Premium,High School,Employed,52405,Married,103,2,27,Other,CallCenter,0
503,Extended,High School,Unemployed,0,Married,133,3,89,Collision,Agent,0
482,Extended,Bachelor,Employed,26583,Married,128,6,46,Hail,Agent,0
500,Basic,Master,Disabled,25486,Married,65,15,53,Collision,Web,0
863,Premium,College,Employed,24065,Divorced,111,30,1,Collision,Branch,0
932,Premium,High School,Employed,70435,Married,116,0,50,Scratch or Dent,Agent,0
1673,Extended,College,Unemployed,0,Single,76,33,36,Scratch or Dent,Branch,0
365,Extended,High School,Employed,39679,Married,92,2,85,Hail,Branch,0
616,Extended,College,Unemployed,0,Single,89,13,45,Collision,Web,0
438,Basic,Bachelor,Unemployed,0,Married,69,21,70,Other,Web,0
557,Basic,High School,Employed,53565,Married,71,27,34,Collision,Agent,0
258,Basic,Bachelor,Employed,37574,Married,66,19,14,Collision,Agent,0
835,Premium,Bachelor,Employed,48259,Single,108,14,79,Collision,Branch,0
632,Extended,High School,Employed,78532,Married,78,25,87,Hail,CallCenter,0
597,Basic,Bachelor,Employed,96163,Married,73,23,90,Collision,CallCenter,0
471,Basic,Bachelor,Unemployed,0,Single,72,0,86,Collision,Agent,0
809,Basic,High School,Unemployed,0,Married,114,9,72,Collision,Agent,0
504,Basic,College,Employed,72672,Married,63,7,39,Hail,CallCenter,0
903,Premium,Bachelor,Employed,99002,Married,112,33,75,Scratch or Dent,Branch,0
729,Extended,High School,Employed,79494,Married,91,19,30,Other,Agent,0
1804,Extended,Master,Employed,35704,Married,225,21,35,Collision,Branch,0
499,Basic,Bachelor,Unemployed,0,Single,71,6,5,Scratch or Dent,Web,1
910,Premium,High School,Disabled,26049,Married,118,17,6,Collision,CallCenter,0
254,Basic,Doctor,Employed,70125,Single,64,21,77,Hail,Branch,0
1294,Basic,College,Employed,52369,Married,110,34,49,Collision,Agent,0
237,Basic,Bachelor,Unemployed,0,Married,66,25,51,Hail,Branch,0
572,Basic,College,Employed,41770,Married,72,0,60,Hail,Branch,0
704,Premium,High School,Unemployed,0,Divorced,101,16,88,Scratch or Dent,Web,1
264,Basic,College,Employed,31911,Married,67,33,27,Hail,Agent,0
540,Basic,Bachelor,Employed,70051,Married,68,15,69,Other,Web,0
838,Basic,High School,Retired,19683,Married,117,17,41,Collision,Web,0
3116,Basic,College,Employed,30916,Married,112,7,65,Collision,Agent,0
289,Extended,Bachelor,Unemployed,0,Single,80,24,95,Collision,CallCenter,0
871,Basic,College,Unemployed,0,Divorced,118,14,64,Collision,Agent,0
2559,Basic,Bachelor,Unemployed,0,Married,116,0,45,Hail,CallCenter,0
1027,Extended,College,Employed,60145,Single,132,8,28,Scratch or Dent,Web,1
438,Premium,Bachelor,Employed,63774,Divorced,111,18,63,Hail,Agent,0
532,Basic,Bachelor,Employed,25134,Married,67,3,0,Hail,CallCenter,0
472,Basic,Bachelor,Employed,37057,Married,61,5,48,Collision,Agent,0
443,Basic,High School,Employed,58577,Married,110,6,62,Collision,Agent,0
588,Basic,High School,Employed,85857,Married,73,3,19,Other,Agent,0
942,Basic,Doctor,Employed,70602,Married,116,8,47,Scratch or Dent,CallCenter,0
829,Premium,Master,Employed,33816,Divorced,106,10,97,Collision,Branch,0
3265,Premium,Bachelor,Unemployed,0,Single,153,7,75,Scratch or Dent,Branch,0
472,Extended,College,Employed,89642,Married,121,11,20,Scratch or Dent,CallCenter,0
390,Extended,Bachelor,Employed,60068,Married,98,17,75,Hail,Agent,0
546,Extended,Bachelor,Employed,50044,Single,139,16,14,Scratch or Dent,CallCenter,0
273,Basic,Master,Employed,36650,Married,69,2,70,Hail,Web,0
443,Basic,College,Employed,50653,Married,110,29,42,Other,Agent,0
533,Basic,Doctor,Employed,68931,Married,66,32,30,Hail,Branch,0
232,Basic,Bachelor,Unemployed,0,Single,73,14,39,Collision,Branch,0
541,Basic,College,Unemployed,0,Single,73,1,22,Hail,CallCenter,1
959,Extended,Bachelor,Employed,39266,Married,80,33,31,Other,Branch,0
2210,Basic,College,Unemployed,0,Married,102,35,48,Collision,Branch,0
976,Extended,High School,Unemployed,0,Single,98,24,11,Hail,Web,1
257,Basic,Bachelor,Employed,40864,Married,65,2,75,Hail,Web,0
265,Basic,College,Employed,39035,Divorced,68,15,65,Hail,Agent,0
1126,Extended,Bachelor,Employed,34923,Single,98,23,82,Collision,CallCenter,0
217,Basic,High School,Unemployed,0,Single,63,1,56,Hail,Agent,1
861,Basic,High School,Unemployed,0,Married,111,27,36,Scratch or Dent,Web,1
283,Basic,College,Employed,24506,Divorced,71,7,47,Collision,Agent,0
893,Extended,High School,Unemployed,0,Married,82,25,63,Other,CallCenter,0
554,Basic,College,Employed,52220,Married,70,17,42,Collision,CallCenter,0
284,Basic,High School,Unemployed,0,Married,74,17,73,Collision,CallCenter,0
808,Basic,College,Employed,53554,Married,67,6,5,Collision,Agent,0
525,Basic,Bachelor,Employed,34476,Married,67,23,49,Other,CallCenter,0
512,Basic,Bachelor,Unemployed,0,Married,70,1,11,Collision,Web,0
303,Extended,College,Employed,68205,Married,76,35,14,Other,Branch,0
802,Basic,High School,Unemployed,0,Single,119,6,48,Scratch or Dent,Branch,1
1821,Premium,High School,Employed,53690,Married,154,20,97,Other,CallCenter,0
512,Basic,High School,Unemployed,0,Single,72,2,22,Collision,Branch,0
215,Basic,High School,Unemployed,0,Single,61,28,31,Hail,Web,1
560,Basic,High School,Employed,74454,Single,71,25,29,Hail,CallCenter,1
756,Basic,Bachelor,Unemployed,0,Single,73,23,91,Hail,Branch,0
539,Basic,High School,Medical Leave,29664,Married,71,1,69,Collision,Agent,0
472,Basic,Master,Disabled,15680,Divorced,64,20,29,Other,Web,0
942,Extended,Bachelor,Employed,47272,Married,79,17,17,Collision,CallCenter,0
361,Extended,College,Employed,21585,Married,92,35,61,Other,Agent,0
776,Premium,College,Disabled,23827,Married,106,18,77,Collision,Agent,0
2344,Basic,College,Employed,69906,Married,74,34,32,Hail,Branch,0
256,Basic,High School,Unemployed,0,Single,72,7,77,Collision,CallCenter,1
512,Basic,Master,Employed,89879,Married,63,17,20,Hail,Web,1
254,Basic,High School,Unemployed,0,Married,69,9,89,Other,Branch,0
297,Basic,High School,Employed,46131,Married,74,27,28,Hail,Branch,0
436,Basic,Master,Employed,54514,Divorced,109,5,36,Hail,Branch,0
588,Premium,High School,Unemployed,0,Single,161,29,1,Collision,Agent,0
527,Basic,College,Employed,96668,Single,66,2,95,Collision,Agent,0
551,Basic,Doctor,Employed,78879,Married,69,9,67,Other,CallCenter,0
1631,Basic,College,Unemployed,0,Single,69,21,86,Scratch or Dent,CallCenter,1
568,Extended,Bachelor,Unemployed,0,Married,76,8,44,Hail,Agent,0
1210,Basic,Bachelor,Unemployed,0,Single,112,28,30,Hail,Agent,0
245,Basic,Bachelor,Medical Leave,29735,Single,69,3,92,Collision,Agent,0
508,Basic,High School,Medical Leave,23082,Married,65,18,90,Collision,Branch,0
321,Extended,Bachelor,Employed,53984,Divorced,80,15,62,Collision,CallCenter,0
1228,Premium,College,Employed,52135,Single,156,6,86,Hail,CallCenter,0
